$EAINS,17,2234,201,499,327261,-300986,802012,398853*AC6E
$EAINS,18,2234,202,499,326772,-302103,801582,399272*77A4
$EAINS,19,2234,204,499,326412,-303096,801160,399661*0EFA
$EAINS,20,2234,205,499,326145,-304043,800714,400053*1C79
$EAINS,21,2234,206,499,325907,-304973,800319,400330*31A7
$EAINS,22,2233,208,499,325690,-305633,800244,400152*B2B3
$EAINS,23,2232,209,499,325606,-305909,800417,399664*7E65
$EAINS,24,2231,209,499,325558,-306140,800579,399202*1A14
$EAINS,25,2229,210,499,325412,-306027,801150,398262*AD0C
$EAINS,26,2227,211,498,325161,-305948,801965,396884*D0C4
$EAINS,27,2223,213,497,324759,-306035,803035,394978*C553
$EAINS,28,2219,215,496,324229,-306383,804250,392663*A2C3
$EAINS,29,2214,218,495,323654,-306766,805651,389957*0C8E
$EAINS,30,2209,221,494,323296,-307046,807015,387206*666B
$EAINS,31,2205,224,493,322935,-307417,808237,384654*4D53
$EAINS,32,2199,226,491,322523,-307112,809952,381624*3B5E
$EAINS,33,2194,227,490,322293,-306093,811994,378283*9467
$EAINS,34,2190,227,488,322334,-304914,813772,375370*EC1F
$EAINS,35,2187,227,488,322562,-303947,815050,373179*CAD1
$EAINS,36,2185,227,488,322983,-303264,815792,371746*C27A
$EAINS,37,2184,226,488,323684,-302650,816131,370891*FC5E
$EAINS,38,2184,225,488,324658,-301514,816523,370101*C918
$EAINS,39,2183,222,488,325653,-299379,817436,368943*58C7
$EAINS,40,2183,218,488,326798,-296634,818500,367786*F9D5
$EAINS,41,2183,214,488,328124,-293244,819734,366576*49E7
$EAINS,42,2183,208,487,328893,-289407,821427,365143*1FE4
$EAINS,43,2183,204,485,329364,-285487,823404,363346*91A2
$EAINS,44,2181,200,484,330417,-281929,825405,360618*C9E7
$EAINS,45,2176,197,484,331908,-278743,827584,356710*8164
$EAINS,46,2170,196,483,333637,-275699,830061,351673*511A
$EAINS,47,2162,195,483,335622,-272873,832699,345699*C63A
$EAINS,48,2152,196,484,338115,-270486,835236,338962*3F6F
$EAINS,49,2142,197,485,341161,-268668,837414,331908*7B91
$EAINS,1,2132,199,487,344443,-267462,839033,325340*E6AF
$EAINS,2,2125,201,489,347264,-266661,840099,320204*BBE3
$EAINS,3,2120,201,491,349601,-266050,840591,316863*DE49
$EAINS,4,2118,201,493,351353,-265527,840579,315392*9619
$EAINS,5,2118,200,494,352578,-265057,840128,315622*D7A0
$EAINS,6,2122,198,495,353347,-264597,839275,317411*BD81
$EAINS,7,2127,195,497,354064,-264240,837971,320342*9139
$EAINS,8,2134,191,498,354411,-263975,836255,324633*B99E
$EAINS,9,2145,186,498,353713,-263699,834158,330950*BAF2
$EAINS,10,2160,179,498,351704,-263354,831686,339478*9B8A
$EAINS,11,2177,172,496,348392,-263168,828893,349716*7443
$EAINS,12,2192,167,494,345366,-263275,826207,358872*ACC1
$EAINS,13,2206,162,492,342094,-263666,823608,367588*E03C
$EAINS,14,2221,158,489,337463,-264602,820721,377518*8DAF
$EAINS,15,2238,154,485,331684,-265867,817419,388748*D778
$EAINS,16,2256,151,480,325475,-267318,813766,400489*C194
$EAINS,17,2272,147,476,320117,-268629,810083,411251*0C65
$EAINS,18,2288,144,473,315382,-269558,806198,421801*C996
$EAINS,19,2308,139,469,309486,-270565,801368,434536*8ADA
$EAINS,20,2328,135,465,303354,-271670,796054,447736*8108
$EAINS,21,2347,131,462,297866,-272651,790922,459759*686C
$EAINS,22,2364,128,458,292112,-273966,785660,471539*8C78
$EAINS,23,2381,127,454,286018,-275851,780278,482975*2068
$EAINS,24,2396,126,451,280657,-278073,775265,492819*B80B
$EAINS,25,2408,126,449,276103,-280252,770720,501214*5F6E
